Consolidated List of Names subject to the Regulations Establishing a List of Entities made under subsection 83.05(1) of the Criminal Code or the Regulations Implementing the United Nations Resolutions 			
on the Suppression of Terrorism or the United Nations Al-Qaida and Taliban Regulations			
PART B – ENTITIES (other than individuals) (download version)1			
"(Names added to the list in October, 2009 are in bold)."			
ID #2	Entity	Address/Other Information	Basis3 (UNSC = United Nations Security Council; RIUNRST = Regulations Implementing the United Nations Resolutions on the Suppression of Terrorism; CC = Criminal Code)
27.21	Al Ameen Trust	"Kitas Ghar, Nazimabad 4, Dahgel-Iftah, Karachi, Pakistan; Jamia Maajid, Sulalman Park, Melgium Pura, Lahore, Pakistan; Office Dha’rbi-M’unin, Opposite Khyber Bank, Abbottabad Road, Mansehra, Pakistan; Office Dha’rbi-M’unin ZR Brothers, Katcherry Road, Chowk Yadgaar, Peshawar, Pakistan; Office Dha’rbi-M’unin, Rm No. 3, Moti Plaza, (Near Liaquat Bagh), Muree Road, Rawalpindi, Pakistan; Office Dha’rbi-M’unin, Top Floor, Dr. Dawa Khan Dental Clinic Surgeon, Main Baxae, Mingora, Swat, Pakistan; Kitab Ghar, Darul Ifta Wal Irshad, Nazimabad No. 4, Karachi, Pakistan, Phone 6683301; Phone 0300-8209199; Fax 6623814; 302b-40, Good Earth Court, Opposite Pia Planitarium, Block 13a, Gulshan-I Iqbal, Karachi; Phone 4979263; 617 Clifton Center, Block 5, 6th Floor, Clifton, Karachi; Phone 587-2545; 605 Landmark Plaza, 11 Chundrigar Road, Opposite Jang Building, Karachi, Pakistan; Phone 2623818-19; Jamia Masjid, Sulaiman Park, Begum Pura, Lahore, Pakistan; Phone 042-6812081;"	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.21	Al Ameen Trust	"Other information: Headquarters in Pakistan. Operations in Afghanistan: Herat Jalalabad, Kabul, Kandahar, Mazar Sherif; Also operations in Kosovo, Chechnya; It has two account numbers 05501741 and 06500138 in Habib Bank Ltd. (Foreign Exchange Branch), Pakistan; Involved in the financing of Al-Qaida and the Taliban. Until 21 Oct. 2008, this entity appeared also as ""Aid Organization of the Ulema, Pakistan"" under permanent reference number QE.A.73.02., listed on 24 Apr. 2002 and amended on 25 Jul. 2006. Based on information confirming that the two entries Al Rashid Trust (QE.A.5.01.) and Aid Organization of the Ulema, Pakistan (QE.A.73.02.) refer to the same entity, the Al-Qaida and Taliban Sanctions Committee decided on 21 Oct. 2008 to consolidate the relevant information contained in both entries in the present entry."	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.22	Al-Ameen Trust	"Kitas Ghar, Nazimabad 4, Dahgel-Iftah, Karachi, Pakistan; Jamia Maajid, Sulalman Park, Melgium Pura, Lahore, Pakistan; Office Dha’rbi-M’unin, Opposite Khyber Bank, Abbottabad Road, Mansehra, Pakistan; Office Dha’rbi-M’unin ZR Brothers, Katcherry Road, Chowk Yadgaar, Peshawar, Pakistan; Office Dha’rbi-M’unin, Rm No. 3, Moti Plaza, (Near Liaquat Bagh), Muree Road, Rawalpindi, Pakistan; Office Dha’rbi-M’unin, Top Floor, Dr. Dawa Khan Dental Clinic Surgeon, Main Baxae, Mingora, Swat, Pakistan; Kitab Ghar, Darul Ifta Wal Irshad, Nazimabad No. 4, Karachi, Pakistan, Phone 6683301; Phone 0300-8209199; Fax 6623814; 302b-40, Good Earth Court, Opposite Pia Planitarium, Block 13a, Gulshan-I Iqbal, Karachi; Phone 4979263; 617 Clifton Center, Block 5, 6th Floor, Clifton, Karachi; Phone 587-2545; 605 Landmark Plaza, 11 Chundrigar Road, Opposite Jang Building, Karachi, Pakistan; Phone 2623818-19; Jamia Masjid, Sulaiman Park, Begum Pura, Lahore, Pakistan; Phone 042-6812081;"	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.22	Al-Ameen Trust	"Other information: Headquarters in Pakistan. Operations in Afghanistan: Herat Jalalabad, Kabul, Kandahar, Mazar Sherif; Also operations in Kosovo, Chechnya; It has two account numbers 05501741 and 06500138 in Habib Bank Ltd. (Foreign Exchange Branch), Pakistan; Involved in the financing of Al-Qaida and the Taliban. Until 21 Oct. 2008, this entity appeared also as ""Aid Organization of the Ulema, Pakistan"" under permanent reference number QE.A.73.02., listed on 24 Apr. 2002 and amended on 25 Jul. 2006. Based on information confirming that the two entries Al Rashid Trust (QE.A.5.01.) and Aid Organization of the Ulema, Pakistan (QE.A.73.02.) refer to the same entity, the Al-Qaida and Taliban Sanctions Committee decided on 21 Oct. 2008 to consolidate the relevant information contained in both entries in the present entry."	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.23	Al Madina Trust	"Kitas Ghar, Nazimabad 4, Dahgel-Iftah, Karachi, Pakistan; Jamia Maajid, Sulalman Park, Melgium Pura, Lahore, Pakistan; Office Dha’rbi-M’unin, Opposite Khyber Bank, Abbottabad Road, Mansehra, Pakistan; Office Dha’rbi-M’unin ZR Brothers, Katcherry Road, Chowk Yadgaar, Peshawar, Pakistan; Office Dha’rbi-M’unin, Rm No. 3, Moti Plaza, (Near Liaquat Bagh), Muree Road, Rawalpindi, Pakistan; Office Dha’rbi-M’unin, Top Floor, Dr. Dawa Khan Dental Clinic Surgeon, Main Baxae, Mingora, Swat, Pakistan; Kitab Ghar, Darul Ifta Wal Irshad, Nazimabad No. 4, Karachi, Pakistan, Phone 6683301; Phone 0300-8209199; Fax 6623814; 302b-40, Good Earth Court, Opposite Pia Planitarium, Block 13a, Gulshan-I Iqbal, Karachi; Phone 4979263; 617 Clifton Center, Block 5, 6th Floor, Clifton, Karachi; Phone 587-2545; 605 Landmark Plaza, 11 Chundrigar Road, Opposite Jang Building, Karachi, Pakistan; Phone 2623818-19; Jamia Masjid, Sulaiman Park, Begum Pura, Lahore, Pakistan; Phone 042-6812081;"	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.23	Al Madina Trust	"Other information: Headquarters in Pakistan. Operations in Afghanistan: Herat Jalalabad, Kabul, Kandahar, Mazar Sherif; Also operations in Kosovo, Chechnya; It has two account numbers 05501741 and 06500138 in Habib Bank Ltd. (Foreign Exchange Branch), Pakistan; Involved in the financing of Al-Qaida and the Taliban. Until 21 Oct. 2008, this entity appeared also as ""Aid Organization of the Ulema, Pakistan"" under permanent reference number QE.A.73.02., listed on 24 Apr. 2002 and amended on 25 Jul. 2006. Based on information confirming that the two entries Al Rashid Trust (QE.A.5.01.) and Aid Organization of the Ulema, Pakistan (QE.A.73.02.) refer to the same entity, the Al-Qaida and Taliban Sanctions Committee decided on 21 Oct. 2008 to consolidate the relevant information contained in both entries in the present entry."	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.24	Al-Madina Trust 	"Kitas Ghar, Nazimabad 4, Dahgel-Iftah, Karachi, Pakistan; Jamia Maajid, Sulalman Park, Melgium Pura, Lahore, Pakistan; Office Dha’rbi-M’unin, Opposite Khyber Bank, Abbottabad Road, Mansehra, Pakistan; Office Dha’rbi-M’unin ZR Brothers, Katcherry Road, Chowk Yadgaar, Peshawar, Pakistan; Office Dha’rbi-M’unin, Rm No. 3, Moti Plaza, (Near Liaquat Bagh), Muree Road, Rawalpindi, Pakistan; Office Dha’rbi-M’unin, Top Floor, Dr. Dawa Khan Dental Clinic Surgeon, Main Baxae, Mingora, Swat, Pakistan; Kitab Ghar, Darul Ifta Wal Irshad, Nazimabad No. 4, Karachi, Pakistan, Phone 6683301; Phone 0300-8209199; Fax 6623814; 302b-40, Good Earth Court, Opposite Pia Planitarium, Block 13a, Gulshan-I Iqbal, Karachi; Phone 4979263; 617 Clifton Center, Block 5, 6th Floor, Clifton, Karachi; Phone 587-2545; 605 Landmark Plaza, 11 Chundrigar Road, Opposite Jang Building, Karachi, Pakistan; Phone 2623818-19; Jamia Masjid, Sulaiman Park, Begum Pura, Lahore, Pakistan; Phone 042-6812081;"	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
27.24	Al-Madina Trust 	"Other information: Headquarters in Pakistan. Operations in Afghanistan: Herat Jalalabad, Kabul, Kandahar, Mazar Sherif; Also operations in Kosovo, Chechnya; It has two account numbers 05501741 and 06500138 in Habib Bank Ltd. (Foreign Exchange Branch), Pakistan; Involved in the financing of Al-Qaida and the Taliban. Until 21 Oct. 2008, this entity appeared also as ""Aid Organization of the Ulema, Pakistan"" under permanent reference number QE.A.73.02., listed on 24 Apr. 2002 and amended on 25 Jul. 2006. Based on information confirming that the two entries Al Rashid Trust (QE.A.5.01.) and Aid Organization of the Ulema, Pakistan (QE.A.73.02.) refer to the same entity, the Al-Qaida and Taliban Sanctions Committee decided on 21 Oct. 2008 to consolidate the relevant information contained in both entries in the present entry."	"UNSC (October 6, 2001); UNSC (October 21, 2008); UNSC (December 10, 2008)"
28.00	Al-Shifa Honey Press for Industry and Commerce	"P.O. Box 8089, Al Hasabah, Sanaa, Yemen; By the Shrine next to the Gas Station, Jamal Street, Ta'iz, Yemen; Al-Arudh Square, Khur Maksar, Aden, Yemen; Al-Nasr Street, Doha, Qatar"	"UNSC (October 17, 2001)"
29.00	"Al Taqwa Trade, Property and Industry Company Limited"	"c/o Asat Trust Reg., Altenbach 8, 9490 Vaduz FL, Liechtenstein; Via Posero, 2, 22060 Campione d'Italia, Italy; Other information: In liquidation"	"UNSC (November 9, 2001); UNSC (November 3, 2003); UNSC November 26, 2004)"
29.01	"Al Taqwa Trade, Property and Industry"	"c/o Asat Trust Reg., Altenbach 8, 9490 Vaduz FL, Liechtenstein; Via Posero, 2, 22060 Campione d'Italia, Italy; Other information: In liquidation"	"UNSC (November 9, 2001); UNSC (November 3, 2003); UNSC November 26, 2004)"
29.03	Waldenberg AG	"c/o Asat Trust Reg., Altenbach 8, 9490 Vaduz FL, Liechtenstein; Via Posero, 2, 22060 Campione d'Italia, Italy; Other information: In liquidation"	"UNSC (November 9, 2001); UNSC (November 3, 2003); UNSC November 26, 2004)"
29.04	Al Taqwa Trade Property and Industry Establishment	"c/o Asat Trust Reg., Altenbach 8, 9490 Vaduz FL, Liechtenstein; Via Posero, 2, 22060 Campione d'Italia, Italy; Other information: In liquidation"	"UNSC (November 9, 2001); UNSC (November 3, 2003); UNSC November 26, 2004)"
29.05	Himmat Establishment	"c/o Asat Trust Reg., Altenbach 8, 9490 Vaduz FL, Liechtenstein; Via Posero, 2, 22060 Campione d'Italia, Italy; Other information: In liquidation"	"UNSC (November 9, 2001); UNSC (November 3, 2003); UNSC November 26, 2004)"
31.00	Armed Islamic Group (GIA)	Address: Algeria	CC (July 23 2002)
31.01	Groupe islamique armé (GIA)	Address: Algeria	CC (July 23 2002)
31.02	Al Jamm’ah Al-Islamiah Al-Musallah	Address: Algeria	"UNSC (October 6, 2001); UNSC (April 7, 2008)"
31.03	Groupement Islamique Armé	Address: Algeria	"UNSC (October 6, 2001); UNSC (April 7, 2008)"
31.04	Armed Islamic Group	Address: Algeria	"UNSC (October 6, 2001); UNSC (April 7, 2008)"
31.05	GIA	Address: Algeria	"UNSC (October 6, 2001); UNSC (April 7, 2008)"
32.00	Asat Trust Reg	"Altenbach 8, Vaduz FL, Liechtenstein"	"UNSC (November 9, 2001)"
33.00	Asbat Al-Ansar	"Ein el-Hilweh camp, Lebanon"	"UNSC (October 6, 2001); UNSC (January 30, 2009)"
33.01	"Asbat Al-Ansar (""The League of Partisans"")"		"CC (November 27, 2002)"
33.03	Osbat Al Ansar		"CC (November 27, 2002)"
33.04	Usbat Al Ansar		"CC (November 27, 2002)"
33.05	Esbat Al-Ansar		"CC (November 27, 2002)"
33.06	Isbat Al Ansar		"CC (November 27, 2002)"
33.07	Usbat-ul-Ansar		"CC (November 27, 2002)"
33.08	"Asbat Al-Ansar (""La Ligue des partisans"")"		"CC (November 27, 2002)"
34.00	Aum Shinrikyo		"CC (December 10, 2002)"
34.01	A.I.C. Comprehensive Research Institute		"CC (December 10, 2002)"
34.02	A.I.C. Sogo Kenkyusho		"CC (December 10, 2002)"
34.03	Aleph		"CC (December 10, 2002)"
34.04	Aum Supreme Truth		"CC (December 10, 2002)"
34.05	Aum Shinri Kyo		"CC (December 10, 2002)"
34.06	Aum		"CC (December 10, 2002)"
34.07	Aum Supreme Truth (Vérité suprême de Aum)		"CC (December 10, 2002)"
37.00	Baraka Trading Company	"P.O. Box 3313, Dubai, United Arab Emirates; Reported to be owned or controlled by Ali Ahmed Nur Jim’Ale (QI.J.41.01)."	"UNSC (November 9, 2001); UNSC (March 23, 2009)"
37.01	Barako Trading Company LLC	"P.O. Box 3313, Dubai, United Arab Emirates; Until 23 Mar. 2009 this entity was also listed as Baraka Trading Company (QE.B.54.01). Reported to be owned or controlled by Ali Ahmed Nur Jim’Ale (QI.J.41.01)."	"UNSC (November 9, 2001); UNSC (March 23, 2009)"
38.00	Barakaat Boston	"266 Neponset Avenue, Apt 43, Dorchester Massachusetts, USA, 02122-3224, United States of America"	"UNSC (November 9, 2001)"
39.00	Barakaat Construction Company	"P.O. Box 3313, Dubai, United Arab Emirates"	"UNSC (November 9, 2001)"
41.00	Barakaat Group of Companies	"Mogadishu, Somalia; P.O. Box 3313, Dubai, United Arab Emirates"	"UNSC (November 9, 2001)"
43.00	Barakat International Companies (BICO)	"Mogadishu, Somalia; Dubai, United Arab Emirates"	"UNSC (November 9, 2001)"
45.00	"Barakaat International, Inc."	"1929 South 5th Street, Suite 205, Minneapolis, Minnesota, United States of America"	"UNSC (November 9, 2001)"
46.00	"Barakaat North America, Inc."	"925 Washington Street, Dorchester, Massachusetts, United States of America; 2019 Bank Street, Ottawa, Ontario, Canada"	"UNSC (November 9, 2001)"
47.00	Barakaat Red Sea Telecommunications	"Bossaso, Somalia; Nakhiil, Somalia; Huruuse, Somalia; Raxmo, Somalia; Ticis, Somalia; Kowthar, Somalia; Noobir, Somalia; Bubaarag, Somalia; Gufure, Somalia; Xuuxuule, Somalia; Ala Aamin, Somalia; Guureeye, Somalia; Najazx, Somalia; Carafaat, Somalia"	"UNSC (November 9, 2001)"
48.00	Barakat Telecommunications Company Limited	"Bakara Market, Dar Salaam Buildings, Mogadishu, Somalia; Kievitlaan 16, T'veld, Noord-Holland, The Netherlands"	"UNSC (November 9, 2001)"
48.02	Btelco	"Bakara Market, Dar Salaam Buildings, Mogadishu, Somalia; Kievitlaan 16, T'veld, Noord-Holland, The Netherlands"	"UNSC (November 9, 2001)"
49.00	"Barakaat Telecommunications Co. Somalia, Ltd."	"P.O. Box 3313, Dubai, United Arab Emirates; Reported to be owned or controlled by Ali Ahmed Nur Jim’Ale (QI.J.41.01)"	"UNSC (November 9, 2001); UNSC (March 23, 2009)"
50.01	Barakat Banks and Remittances	"Bakaara Market, Mogadishu, Somalia; Dubai, United Arab Emirates; Reported to be owned or controlled by Ali Ahmed Nur Jim'Ale (QI.J.41.01)"	"UNSC (November 9, 2001); UNSC (November 26, 2004); UNSC (March 23, 2009)"
50.02	Barakaat Bank of Somalia Ltd.	"Bakaara Market, Mogadishu, Somalia; Dubai, United Arab Emirates; Reported to be owned or controlled by Ali Ahmed Nur Jim'Ale (QI.J.41.01)"	"UNSC (November 9, 2001); UNSC (November 26, 2004); UNSC (March 23, 2009)"
50.03	Baraka Bank of Somalia	"Bakaara Market, Mogadishu, Somalia; Dubai, United Arab Emirates; Reported to be owned or controlled by Ali Ahmed Nur Jim'Ale (QI.J.41.01)"	"UNSC (November 9, 2001); UNSC (November 26, 2004); UNSC (March 23, 2009)"
50.04	Barakaat Bank of Somalia	"Bakaara Market, Mogadishu, Somalia; Dubai, United Arab Emirates; Reported to be owned or controlled by Ali Ahmed Nur Jim'Ale (QI.J.41.01)"	"UNSC (November 9, 2001); UNSC (November 26, 2004); UNSC (March 23, 2009)"
51.00	Barakat Computer Consulting (BCC)	"Mogadishu, Somalia"	"UNSC (November 9, 2001)"
52.00	Barakat Consulting Group (BCG)	"Mogadishu, Somalia"	"UNSC (November 9, 2001)"
53.00	Barakat Global Telephone Company	"Mogadishu, Somalia; Dubai, United Arab Emirates"	"UNSC (November 9, 2001)"
54.00	Barakat Post Express (BPE)	"Mogadishu, Somalia"	"UNSC (November 9, 2001)"
55.00	Barakat Refreshment Company	"Mogadishu, Somalia; Dubai, United Arab Emirates"	"UNSC (November 9, 2001)"
56.00	Barakaat Wire Transfer Company	"4419 South Brandon Street, Seattle, Washington, United States of America"	"UNSC (November 9, 2001)"
57.00	Basque Fatherland and Liberty		"CC (April 2, 2003)"
57.02	Euzkadi Ta Askatasuna (ETA)		"CC (April 2, 2003)"
57.03	Euzkadi Ta Askatasanu		"CC (April 2, 2003)"
57.05	Basque Homeland and Liberty		"CC (April 2, 2003)"
57.06	Euzkadi Ta Azkatasuna		"CC (April 2, 2003)"
57.07	Basque Nation and Liberty		"CC (April 2, 2003)"
57.08	Basque Fatherland and Liberty		"CC (April 2, 2003)"
57.09	Basque Homeland and Freedom		"CC (April 2, 2003)"
57.10	Pays basque et Liberté		"CC (April 2, 2003)"
58.00	Beit el-Mal Holdings	"P.O. Box 662, Ramallah, West Bank"	"RIUNRST (December 4, 2001); RIUNRST (June 23, 2006)"
59.00	Continuity Irish Republican Army		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
59.01	IRA-Continuité (Armée républicaine irlandaise)		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
63.01	Islamic Group (IG)		"CC (July 23, 2002)"
63.06	Al-Gama'a al-Islamiyya (AGAI)		"CC (July 23, 2002)"
63.07	Al-Jama'a al-islamiya (AJAI)		"CC (July 23, 2002)"
63.08	Groupe islamique (GI)		"CC (July 23, 2002)"
65.00	Grupos de Resistencia Antifascista Primero de Octubre (GRAPO)		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
65.01	First of October Antifascist Resistance Groups		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
65.02	Groupes de résistance antifasciste du premier octobre		"RIUNRST (January 9, 2002); RIUNRST (June 23, 2006)"
66.00	Hamas		"CC (November 27, 2002)"
66.01	Harakat Al-Muqawama Al-Islamiya		"CC (November 27, 2002)"
66.02	Islamic Resistance Movement		"CC (November 27, 2002)"
66.03	Mouvement de résistance islamique		"CC (November 27, 2002)"
67.00	Harakat Ul-Mujahidin (HUM)		"UNSC (October 6, 2001)"
67.01	Al-Faran		"UNSC (October 6, 2001); CC (November 27, 2002)"
67.02	Al-Hadid		"UNSC (October 6, 2001); CC (November 27, 2002)"
67.03	Al-Hadith		"UNSC (October 6, 2001); CC (November 27, 2002)"
67.04	Harakat Ul-Ansar		"UNSC (October 6, 2001)"
67.05	Harakat Ul-Mujahideen		"UNSC (October 6, 2001)"
67.06	Harakat ul-Mudjahidin (HuM)		"CC (November 27, 2002)"
67.07	Harkat-ul-Mujahideen		"CC (November 27, 2002)"
67.08	Harakat ul-Mujahideen		"CC (November 27, 2002)"
67.09	Harakat al-Mujahideen		"CC (November 27, 2002)"
67.10	Harkat-ul-Ansar		"CC (November 27, 2002)"
67.11	Harakat ul-Ansar		"CC (November 27, 2002)"
67.12	Harakat al-Ansar		"CC (November 27, 2002)"
67.13	Harkat-ul-Jehad-e-Islami		"CC (November 27, 2002)"
67.14	Harkat Mujahideen		"CC (November 27, 2002)"
67.15	Harakat-ul-Mujahideen al-Almi		"CC (November 27, 2002)"
67.16	Holy Warriors Movement		"CC (November 27, 2002)"
67.17	Movement of the Mujahideen		"CC (November 27, 2002)"
67.18	Movement of the Helpers		"CC (November 27, 2002)"
67.19	Movement of Islamic Fighters		"CC (November 27, 2002)"
67.20	Al Qanoon		"CC (November 27, 2002)"
67.21	HUA		"UNSC (October 6, 2001)"
67.22	Mouvement des combattants de la guerre sainte		"CC (November 27, 2002)"
67.23	Mouvement des moudjahidin		"CC (November 27, 2002)"
67.24	Mouvement des compagnons du Prophète		"CC (November 27, 2002)"
67.25	Mouvement des combattants islamiques		"CC (November 27, 2002)"
68.00	Heyatul Ulya	"Mogadishu, Somalia"	"UNSC (November 9, 2001)"
69.00	Hizballah		"CC (December 10, 2002)"
69.01	Hizbullah		"CC (December 10, 2002)"
69.02	Hizbollah		"CC (December 10, 2002)"
69.03	Hezbollah		"CC (December 10, 2002)"
69.04	Hezballah		"CC (December 10, 2002)"
69.05	Hizbu'llah		"CC (December 10, 2002)"
69.06	The Party of God		"CC (December 10, 2002)"
69.07	Islamic Jihad (Islamic Holy War)		"CC (December 10, 2002)"
69.08	Islamic Jihad Organization		"CC (December 10, 2002)"
69.09	Islamic Resistance		"CC (December 10, 2002)"
69.10	Islamic Jihad for the Liberation of Palestine		"CC (December 10, 2002)"
69.11	Ansar al-Allah (Followers of God/Partisans of God/God's Helpers)		"CC (December 10, 2002)"
69.12	Ansarollah (Followers of God/Partisans of God/God's Helpers)		"CC (December 10, 2002)"
69.13	Ansar Allah (Followers of God/Partisans of God/God's Helpers)		"CC (December 10, 2002)"
69.14	Al-Muqawamah al-Islamiyyah (Islamic Resistance)		"CC (December 10, 2002)"
69.15	Organization of the Oppressed		"CC (December 10, 2002)"
69.16	Organization of the Oppressed on Earth		"CC (December 10, 2002)"
69.17	Revolutionary Justice Organization		"CC (December 10, 2002)"
69.18	Organization of Right Against Wrong		"CC (December 10, 2002)"
69.19	Followers of the Prophet Muhammed		"CC (December 10, 2002)"
69.20	Parti de Dieu		"CC (December 10, 2002)"
69.21	Jihad islamique (Guerre sainte islamique)		"CC (December 10, 2002)"
69.22	Organisation du Jihad islamique		"CC (December 10, 2002)"
69.23	Résistance islamique		"CC (December 10, 2002)"
69.24	Jihad islamique de libération de la Palestine		"CC (December 10, 2002)"
69.25	Ansar al-Allah (Les Partisans de Dieu)		"CC (December 10, 2002)"
69.26	Ansarollah (Les Partisans de Dieu)		"CC (December 10, 2002)"
69.27	Ansar Allah (Les Partisans de Dieu)		"CC (December 10, 2002)"
69.28	Al-Muqawamah al-Islamiyyah (Résistance islamique)		"CC (December 10, 2002)"
69.29	Organisations des opprimés		"CC (December 10, 2002)"
69.30	Organisation des opprimés sur terre		"CC (December 10, 2002)"
69.31	Organisation de la justice révolutionnaire		"CC (December 10, 2002)"
69.32	Organisation du bien contre le mal		"CC (December 10, 2002)"
69.33	Disciples du prophète Mahomet		"CC (December 10, 2002)"
70.00	Holy Land Foundation for Relief and Development	"Suite 509, Richardson, Texas 75081; P.O. Box 832390, Richardson, Texas 75083"	"RIUNRST (December 4, 2001); RIUNRST (June 13, 2006)"
70.01	Holy Land Foundation for Relief and Development	"9250 S. Harlem Avenue, Bridgeview, Illinois"	"RIUNRST (December 4, 2001); RIUNRST (June 13, 2006)"
70.02	Holy Land Foundation for Relief and Development	"345 E. Railway Avenue, Paterson, New Jersey 07503"	"RIUNRST (December 4, 2001); RIUNRST (June 13, 2006)"
70.03	Holy Land Foundation for Relief and Development	"12798 Rancho Penasquitos Blvd., Suite F, San Diego, California 92128"	"RIUNRST (December 4, 2001); RIUNRST (June 13, 2006)"
70.04	Holy Land Foundation for Relief and Development	"Hebron, West Bank"	"RIUNRST (December 4, 2001); RIUNRST (June 13, 2006)"
70.05	Holy Land Foundation for Relief and Development	Gaza	"RIUNRST (December 4, 2001); RIUNRST (June 13, 2006)"
70.06	Holy Land Foundation for Relief and Development	other locations within the United States	"RIUNRST (December 4, 2001); RIUNRST (June 13, 2006)"
71.00	Islamic Army of Aden		"UNSC (October 6, 2001)"
71.02	Islamic Army of Aden (IAA)		"CC (November 27, 2002)"
71.03	Islamic Army of Aden-Abyan (IAAA)		"CC (November 27, 2002)"
71.04	the Aden-Abyan Islamic Army (AAIA)		"CC (November 27, 2002)"
71.05	Aden Islamic Army		"CC (November 27, 2002)"
71.06	Islamic Aden Army		"CC (November 27, 2002)"
71.07	Muhammed's Army / Army of Mohammed		"CC (November 27, 2002)"
71.08	Jaish Adan Al Islami		"CC (November 27, 2002)"
71.09	Armée islamique d'Aden (AIA)		"CC (November 27, 2002)"
71.10	Armée islamique d'Aden-Abyan (AIAA)		"CC (November 27, 2002)"
71.11	Armée islamique d'Aden-Abian		"CC (November 27, 2002)"
71.12	Armée islamique d'Aden-Abyane		"CC (November 27, 2002)"
71.13	Armée islamique d'Aden-Abiane		"CC (November 27, 2002)"
71.14	Armée de Mohammed		"CC (November 27, 2002)"
72.00	Islamic Movement of Uzbekistan (IMU)		"CC (April 2, 2003)"
72.01	Mouvement islamique d'Ouzbékistan (MIO)		"CC (April 2, 2003)"
72.02	IMU		"UNSC (October 6, 2001)"
72.04	Islamic Movement of Uzbekistan		"UNSC (October 6, 2001)"
73.00	Jaish-I-Mohammed	Pakistan	"UNSC (October 17, 2001)"
73.01	Army of Mohammed	Pakistan	"UNSC (October 17, 2001), CC (November 27, 2002)"
73.02	Mohammed's Army		"CC (November 27, 2002)"
73.03	Tehrik Ul-Furqaan		"CC (November 27, 2002)"
73.04	Jaish-e-Mohammed (JeM)		"CC (November 27, 2002)"
73.05	Jaish-i-Mohammed		"CC (November 27, 2002)"
73.06	Jaish-i-Mohammad		"CC (November 27, 2002)"
73.07	Jaish-i-Muhammad		"CC (November 27, 2002)"
73.08	Jaish-i-Muhammed		"CC (November 27, 2002)"
73.09	Jaish-e-Mohammad		"CC (November 27, 2002)"
73.10	Jaish-e-Muhammed		"CC (November 27, 2002)"
73.11	Jaish-e-Mohammad Mujahideen E-Tanzeem		"CC (November 27, 2002)"
73.12	Jeish-e-Mahammed		"CC (November 27, 2002)"
73.13	National Movement for the Restoration of Pakistani Sovereignty		"CC (November 27, 2002)"
73.14	Army of the Prophet		"CC (November 27, 2002)"
73.15	Armèe de Mohammed		"CC (November 27, 2002)"
73.16	Mouvement national pour la restauration de la souveraineté du Pakistan		"CC (November 27, 2002)"
73.17	Armée du Prophète		"CC (November 27, 2002)"
74.00	Jam'yah Ta'awun Al-Islamia	"Qandahar City, Afghanistan"	"UNSC (October 17, 2001)"
74.01	Society of Islamic Cooperation	"Qandahar City, Afghanistan"	"UNSC (October 17, 2001)"
74.03	Jam'iyat Al Ta'awun Al Islamiyya	"Qandahar City, Afghanistan"	"UNSC (October 17, 2001)"
74.04	Jit	"Qandahar City, Afghanistan"	"UNSC (October 17, 2001)"
75.00	Kahane Chai (Kach)		"CC (May 24, 2005)"
75.02	Dikuy Bogdim		"CC (May 24, 2005)"
75.03	DOV		"CC (May 24, 2005)"
75.05	Judea Police		"CC (May 24, 2005)"
75.07	Kahane Lives		"CC (May 24, 2005)"
75.08	Kfar Tapuah Fund		"CC (May 24, 2005)"
75.10	Repression of Traitors		"CC (May 24, 2005)"
75.11	State of Judea		"CC (May 24, 2005)"
75.12	Sword of David		"CC (May 24, 2005)"
75.13	Judean Legion		"CC (May 24, 2005)"
75.14	Judean Voice		"CC (May 24, 2005)"
75.15	Qomemiyut Movement		"CC (May 24, 2005)"
75.16	Way of The Torah		"CC (May 24, 2005)"
75.17	Yeshiva of the Jewish Idea		"CC (May 24, 2005)"
75.18	Répression des traîtres		"CC (May 24, 2005)"
75.19	State of Yehuda		"CC (May 24, 2005)"
75.20	État de Yehuda		"CC (May 24, 2005)"
75.21	Épée de David		"CC (May 24, 2005)"
75.22	Police de Judée		"CC (May 24, 2005)"
75.23	Kahane vit		"CC (May 24, 2005)"
75.24	Fonds de Kfar Tapuah		"CC (May 24, 2005)"
75.25	État de Judée		"CC (May 24, 2005)"
75.26	Légion judéenne		"CC (May 24, 2005)"
75.27	Voix judéenne		"CC (May 24, 2005)"
75.28	Mouvement Qomemiyut		"CC (May 24, 2005)"
75.29	Ordre de la Torah		"CC (May 24, 2005)"
75.30	Yeshiva de la pensée juive		"CC (May 24, 2005)"
76.00	Kurdistan Workers Party (PKK)		"CC (May 17, 2004)"
